No.,Year.Built,BuildingArea,AreaUnits,Type,County,City,Price.USD
5239,0,0,Acres,LOT,Towns County,Hiawassee,69000
5240,0,0,Acres,LOT,Towns County,Hiawassee,75000
5241,0,0,sqft,LOT,Towns County,Hiawassee,79500
5242,0,0,Acres,LOT,Towns County,Hiawassee,120000
5243,0,0,Acres,LOT,Towns County,Hiawassee,39700
5244,0,0,sqft,LOT,Towns County,Hiawassee,395000
5245,0,0,sqft,LOT,Towns County,Hiawassee,199000
5246,0,0,Acres,LOT,Towns County,Hiawassee,43000
5247,0,0,Acres,LOT,Towns County,Hiawassee,37900
5248,0,0,Acres,LOT,Towns County,Hiawassee,19900
5249,0,0,Acres,LOT,Towns County,Hiawassee,42900
5250,0,0,Acres,LOT,Towns County,Hiawassee,59900
5251,0,0,Acres,LOT,Towns County,Hiawassee,42000
5252,0,0,Acres,LOT,Towns County,Hiawassee,26000
5253,0,0,Acres,LOT,Towns County,Hiawassee,160000
5254,1975,980,sqft,CONDO,Cobb County,Atlanta,177000
5255,2018,4000,sqft,TOWNHOUSE,Cobb County,Atlanta,1495000
5256,1974,1288,sqft,CONDO,Cobb County,Atlanta,230000
5257,2004,5450,sqft,SINGLE_FAMILY,Cobb County,Atlanta,849900
5258,2003,4128,sqft,TOWNHOUSE,Cobb County,Atlanta,950000
5259,2004,3996,sqft,SINGLE_FAMILY,Cobb County,Atlanta,749000
5260,1982,2000,sqft,TOWNHOUSE,Cobb County,Atlanta,420000
5261,1983,0,sqft,TOWNHOUSE,Fulton County,Atlanta,739000
5262,2000,4237,Acres,SINGLE_FAMILY,Cobb County,Atlanta,800000
5263,2005,2128,Acres,SINGLE_FAMILY,Murray County,Crandall,169500
5264,0,0,Acres,LOT,Murray County,Crandall,78500
5265,1962,0,Acres,SINGLE_FAMILY,Murray County,Crandall,184900
5266,1974,0,Acres,SINGLE_FAMILY,Murray County,Crandall,79900
5267,1962,0,Acres,SINGLE_FAMILY,Murray County,Crandall,350000
5268,1976,0,Acres,SINGLE_FAMILY,Murray County,Crandall,65000
5269,1963,0,Acres,SINGLE_FAMILY,Murray County,Crandall,299000
5270,1942,0,Acres,LOT,Murray County,Crandall,125000
5271,1987,0,Acres,SINGLE_FAMILY,Mitchell County,Baconton,329900
5272,2005,0,Acres,SINGLE_FAMILY,Mitchell County,Baconton,104900
5273,1981,0,Acres,LOT,Mitchell County,Baconton,18000
5274,1990,0,Acres,SINGLE_FAMILY,Mitchell County,Baconton,219000
5275,0,0,Acres,LOT,Mitchell County,Baconton,28900
5276,1979,0,Acres,LOT,Mitchell County,Baconton,145000
5277,0,0,Acres,LOT,Mitchell County,Baconton,25000
5278,0,0,Acres,LOT,Mitchell County,Baconton,27500
5279,1990,3018,Acres,SINGLE_FAMILY,Spalding County,Griffin,324900
5280,1966,2973,Acres,SINGLE_FAMILY,Spalding County,Griffin,289900
5281,1957,4446,Acres,SINGLE_FAMILY,Spalding County,Griffin,310000
5282,1940,0,Acres,MULTI_FAMILY,Spalding County,Griffin,175000
5283,2019,2125,Acres,SINGLE_FAMILY,Spalding County,Griffin,330000
5284,2000,4574,Acres,SINGLE_FAMILY,Pike County,Griffin,475000
5285,1937,0,sqft,MULTI_FAMILY,Spalding County,Griffin,130000
5286,1956,3854,Acres,SINGLE_FAMILY,Spalding County,Griffin,319900
5287,1940,1845,Acres,SINGLE_FAMILY,Spalding County,Griffin,240000
5288,1950,0,Acres,MULTI_FAMILY,Spalding County,Griffin,110000
5289,1976,4006,Acres,SINGLE_FAMILY,Spalding County,Griffin,220000
5290,1989,1248,Acres,SINGLE_FAMILY,Spalding County,Griffin,147900
5291,0,0,Acres,LOT,Spalding County,Griffin,34500
5292,1940,1280,Acres,SINGLE_FAMILY,Spalding County,Griffin,147900
5293,2021,0,Acres,SINGLE_FAMILY,Spalding County,Griffin,299900
5294,1956,1431,Acres,SINGLE_FAMILY,Spalding County,Griffin,229900
5295,1940,1456,Acres,SINGLE_FAMILY,Pike County,Griffin,239900
5296,2020,0,sqft,SINGLE_FAMILY,Spalding County,Griffin,256900
5297,1967,1200,Acres,SINGLE_FAMILY,Lamar County,Griffin,199900
5298,0,0,sqft,LOT,Spalding County,Griffin,691900
5299,0,0,Acres,LOT,Spalding County,Griffin,24900
5300,0,0,Acres,LOT,Pike County,Griffin,90000
5301,0,0,Acres,LOT,Spalding County,Griffin,22000
5302,0,0,Acres,LOT,Spalding County,Griffin,49500
5303,0,0,Acres,LOT,Spalding County,Griffin,39500
5304,2006,1714,sqft,TOWNHOUSE,Clayton County,Jonesboro,155000
5305,2007,0,sqft,SINGLE_FAMILY,Clayton County,Jonesboro,195000
5306,1948,964,Acres,SINGLE_FAMILY,Clayton County,Jonesboro,115000
5307,0,0,Acres,LOT,Clayton County,Jonesboro,83000
5308,1964,1700,Acres,SINGLE_FAMILY,Clayton County,Jonesboro,219900
5309,1995,1463,sqft,SINGLE_FAMILY,Clayton County,Jonesboro,167000
5310,1971,0,sqft,SINGLE_FAMILY,Clayton County,Riverdale,239500
5311,1958,1008,sqft,SINGLE_FAMILY,Clayton County,Jonesboro,149900
5312,1997,1978,sqft,SINGLE_FAMILY,Clayton County,Jonesboro,210000
5313,1979,1632,sqft,SINGLE_FAMILY,Clayton County,Riverdale,205000
5314,1944,3164,Acres,SINGLE_FAMILY,Clayton County,Jonesboro,330000
5315,1970,0,sqft,MULTI_FAMILY,Clayton County,Jonesboro,235000
5316,1985,1239,Acres,SINGLE_FAMILY,Clayton County,Jonesboro,160000
5317,1940,0,sqft,SINGLE_FAMILY,Clayton County,Jonesboro,200000
5318,1958,1075,Acres,SINGLE_FAMILY,Clayton County,Jonesboro,172000
5319,0,0,sqft,LOT,Clayton County,Jonesboro,35000
5320,0,0,sqft,LOT,Clayton County,Jonesboro,239900
5321,0,0,sqft,LOT,Clayton County,Jonesboro,20000
5322,0,0,Acres,LOT,Clayton County,Jonesboro,42500
5323,0,0,Acres,LOT,Clayton County,Jonesboro,2000000
5324,0,0,Acres,LOT,Clayton County,Jonesboro,229900
5325,0,0,Acres,LOT,Clayton County,Jonesboro,29900
5326,0,0,Acres,LOT,Clayton County,Jonesboro,70000
5327,0,0,Acres,LOT,Clayton County,Jonesboro,100000
5328,1972,1056,sqft,SINGLE_FAMILY,Clayton County,Jonesboro,169000
5329,1948,899,Acres,SINGLE_FAMILY,Clayton County,Jonesboro,115000
5330,1982,2222,Acres,SINGLE_FAMILY,Monroe County,Forsyth,259900
5331,2019,0,Acres,SINGLE_FAMILY,Monroe County,Forsyth,689000
5332,1983,2818,Acres,SINGLE_FAMILY,Monroe County,Forsyth,150000
5333,1996,0,Acres,SINGLE_FAMILY,Monroe County,Forsyth,405000
5334,2021,0,sqft,SINGLE_FAMILY,Monroe County,Forsyth,999000
5335,1997,1638,Acres,SINGLE_FAMILY,Monroe County,Forsyth,199999
5336,2005,5270,Acres,SINGLE_FAMILY,Monroe County,Forsyth,1100000
5337,1908,0,Acres,SINGLE_FAMILY,Monroe County,Forsyth,179900
5338,0,0,Acres,LOT,Monroe County,Forsyth,29500
5339,0,0,Acres,LOT,Monroe County,Forsyth,45000
5340,0,0,Acres,LOT,Monroe County,Forsyth,45000
5341,1900,2448,Acres,SINGLE_FAMILY,Monroe County,Forsyth,399900
5342,1991,3987,Acres,SINGLE_FAMILY,Monroe County,Forsyth,525000
5343,0,0,Acres,LOT,Monroe County,Forsyth,79500
5344,0,0,Acres,LOT,Monroe County,Forsyth,85000
5345,0,0,Acres,LOT,Monroe County,Forsyth,116000
5346,1976,2193,Acres,SINGLE_FAMILY,Monroe County,Forsyth,310000
5347,1989,6500,Acres,SINGLE_FAMILY,Monroe County,Forsyth,725000
5348,0,0,sqft,LOT,Monroe County,Forsyth,174000
5349,0,0,Acres,LOT,Monroe County,Forsyth,66999
5350,0,0,Acres,LOT,Monroe County,Forsyth,69900
5351,0,0,Acres,LOT,Monroe County,Forsyth,119000
5352,0,0,Acres,LOT,Monroe County,Forsyth,39000
5353,0,0,Acres,LOT,Monroe County,Forsyth,42000
5354,0,0,Acres,LOT,Monroe County,Forsyth,65000
5355,0,0,Acres,LOT,Monroe County,Forsyth,65000
5356,0,0,sqft,LOT,Monroe County,Forsyth,125000
5357,0,0,Acres,LOT,Monroe County,Forsyth,59000
5358,0,0,Acres,LOT,Monroe County,Forsyth,69000
5359,0,0,Acres,LOT,Monroe County,Forsyth,65000
5360,1999,1608,Acres,SINGLE_FAMILY,Newton County,Covington,233000
5361,2002,1876,Acres,SINGLE_FAMILY,Newton County,Covington,249900
5362,1993,3306,Acres,SINGLE_FAMILY,Rockdale County,Covington,311900
5363,2021,0,sqft,SINGLE_FAMILY,Newton County,Covington,0
5364,2021,0,Acres,SINGLE_FAMILY,Newton County,Covington,275000
5365,1981,1585,Acres,SINGLE_FAMILY,Newton County,Covington,225000
5366,2010,1642,Acres,SINGLE_FAMILY,Newton County,Covington,224900
5367,1988,2502,Acres,SINGLE_FAMILY,Newton County,Covington,699000
5368,2002,1470,Acres,SINGLE_FAMILY,Newton County,Covington,261000
5369,1966,2174,Acres,SINGLE_FAMILY,Newton County,Covington,375000
5370,2001,2138,Acres,SINGLE_FAMILY,Newton County,Covington,286000
5371,1989,1462,Acres,SINGLE_FAMILY,Newton County,Covington,199000
5372,2007,3686,Acres,SINGLE_FAMILY,Newton County,Covington,475000
5373,1987,2226,Acres,SINGLE_FAMILY,Newton County,Covington,269900
5374,2021,0,sqft,SINGLE_FAMILY,Newton County,Covington,0
5375,2018,3457,sqft,SINGLE_FAMILY,Newton County,Covington,390000
5376,2004,1528,Acres,SINGLE_FAMILY,Newton County,Covington,199817
5377,1983,1512,Acres,SINGLE_FAMILY,Newton County,Covington,285000
5378,2007,2585,Acres,SINGLE_FAMILY,Newton County,Covington,375000
5379,1997,0,sqft,SINGLE_FAMILY,Newton County,Covington,250000
5380,1991,1687,Acres,SINGLE_FAMILY,Newton County,Covington,229900
5381,1972,2490,Acres,SINGLE_FAMILY,Newton County,Covington,249900
5382,1989,3280,Acres,SINGLE_FAMILY,Newton County,Covington,289900
5383,0,0,Acres,LOT,Newton County,Covington,45000
5384,2001,2102,Acres,SINGLE_FAMILY,Newton County,Covington,230000
5385,1995,1700,Acres,SINGLE_FAMILY,Newton County,Covington,225000
5386,2021,1463,sqft,TOWNHOUSE,Newton County,Covington,246900
5387,2021,1463,sqft,TOWNHOUSE,Newton County,Covington,240900
5388,0,0,Acres,LOT,Bacon County,Nicholls,1900000
5389,0,0,Acres,LOT,Coffee County,Nicholls,18500
5390,0,0,sqft,LOT,Bacon County,Nicholls,52500
5391,0,0,Acres,LOT,Ware County,Nicholls,882000
5392,0,0,Acres,LOT,Coffee County,Nicholls,19000
5393,1974,0,Acres,SINGLE_FAMILY,Ware County,Nicholls,2900000
5394,1984,1650,Acres,SINGLE_FAMILY,Douglas County,Douglasville,255000
5395,2017,1638,Acres,SINGLE_FAMILY,Douglas County,Douglasville,249900
5396,2007,4148,sqft,SINGLE_FAMILY,Douglas County,Douglasville,445000
5397,1974,2186,Acres,SINGLE_FAMILY,Douglas County,Douglasville,225000
5398,1960,2560,Acres,SINGLE_FAMILY,Douglas County,Douglasville,359000
5399,1993,2589,Acres,SINGLE_FAMILY,Douglas County,Douglasville,409900
5400,1952,2248,Acres,SINGLE_FAMILY,Douglas County,Douglasville,225000
5401,1994,2010,Acres,SINGLE_FAMILY,Douglas County,Douglasville,299900
5402,0,0,Acres,LOT,Douglas County,Douglasville,50000
5403,0,0,Acres,LOT,Douglas County,Douglasville,54900
5404,0,0,Acres,LOT,Douglas County,Douglasville,59900
5405,0,0,Acres,LOT,Douglas County,Douglasville,59900
5406,0,0,Acres,LOT,Douglas County,Douglasville,59900
5407,1975,1618,Acres,SINGLE_FAMILY,Douglas County,Douglasville,259969
5408,1994,1204,sqft,SINGLE_FAMILY,Douglas County,Douglasville,313000
5409,1948,2656,Acres,SINGLE_FAMILY,Douglas County,Douglasville,339900
5410,1973,2332,Acres,SINGLE_FAMILY,Douglas County,Douglasville,350000
5411,0,0,Acres,LOT,Douglas County,Douglasville,70000
5412,1978,2500,sqft,SINGLE_FAMILY,Douglas County,Douglasville,265900
5413,0,0,Acres,LOT,Douglas County,Douglasville,84900
5414,1892,2100,sqft,CONDO,Fulton County,Atlanta,725000
5415,2021,0,sqft,CONDO,Dekalb County,Atlanta,534000
5416,2003,1248,sqft,CONDO,Dekalb County,Atlanta,450000
5417,1999,1280,sqft,SINGLE_FAMILY,Dekalb County,Atlanta,630000
5418,1900,1000,Acres,SINGLE_FAMILY,Dekalb County,Atlanta,400000
5419,1950,1939,Acres,SINGLE_FAMILY,Dekalb County,Atlanta,775000
5420,2017,2124,sqft,TOWNHOUSE,Dekalb County,Atlanta,615000
5421,2019,2692,sqft,TOWNHOUSE,Dekalb County,Atlanta,850000
5422,1925,684,sqft,CONDO,Dekalb County,Atlanta,199900
5423,1920,0,sqft,LOT,Dekalb County,Atlanta,230000
5424,2008,1389,sqft,CONDO,Fulton County,Atlanta,549900
5425,1941,1500,Acres,SINGLE_FAMILY,Dekalb County,Atlanta,469900
5426,1925,10000,Acres,SINGLE_FAMILY,Dekalb County,Atlanta,3695000
5427,1995,2346,sqft,SINGLE_FAMILY,Dekalb County,Atlanta,750000
5428,2014,2811,sqft,SINGLE_FAMILY,Dekalb County,Atlanta,939000
5429,1937,1585,Acres,SINGLE_FAMILY,Dekalb County,Atlanta,450000
5430,2019,2097,sqft,TOWNHOUSE,Fulton County,Atlanta,649900
5431,1995,5313,sqft,SINGLE_FAMILY,Dekalb County,Atlanta,1185000
5432,1941,3200,Acres,SINGLE_FAMILY,Dekalb County,Atlanta,880000
5433,1969,1800,Acres,SINGLE_FAMILY,Jackson County,Nicholson,314900
5434,0,0,Acres,LOT,Jackson County,Nicholson,198900
5435,1970,1180,Acres,SINGLE_FAMILY,Jackson County,Nicholson,159900
5436,2003,0,Acres,SINGLE_FAMILY,Jackson County,Nicholson,789900
5437,0,0,sqft,LOT,Jackson County,Nicholson,112000
5438,0,0,Acres,LOT,Jackson County,Nicholson,250000
5439,0,0,sqft,LOT,Jackson County,Nicholson,142500
5440,0,0,Acres,LOT,Jackson County,Nicholson,40000
5441,0,0,Acres,LOT,Jackson County,Nicholson,1658300
5442,1970,1314,Acres,SINGLE_FAMILY,Jackson County,Nicholson,199900
5443,0,0,Acres,LOT,Jackson County,Nicholson,106900
5444,1992,2240,Acres,SINGLE_FAMILY,Jackson County,Nicholson,799000
5445,1962,2595,Acres,SINGLE_FAMILY,Jackson County,Nicholson,424900
5446,0,0,Acres,LOT,Jackson County,Nicholson,395000
5447,0,0,Acres,LOT,Jackson County,Nicholson,299900
5448,0,0,Acres,LOT,Jackson County,Nicholson,105000
5449,0,0,Acres,LOT,Jackson County,Nicholson,15000
5450,1900,1448,Acres,SINGLE_FAMILY,Jackson County,Nicholson,925000
5451,0,0,Acres,LOT,Jackson County,Nicholson,57280
5452,1982,2755,Acres,SINGLE_FAMILY,Carroll County,Whitesburg,285000
5453,1862,1876,Acres,SINGLE_FAMILY,Carroll County,Whitesburg,299000
5454,2007,4210,Acres,SINGLE_FAMILY,Carroll County,Whitesburg,549900
5455,0,0,Acres,LOT,Carroll County,Whitesburg,310800
5456,0,0,Acres,LOT,Carroll County,Whitesburg,125000
5457,0,0,Acres,LOT,Carroll County,Whitesburg,94125
5458,2000,3617,Acres,SINGLE_FAMILY,Carroll County,Whitesburg,389900
5459,2013,1800,Acres,SINGLE_FAMILY,Carroll County,Whitesburg,265000
5460,2002,6032,Acres,SINGLE_FAMILY,Douglas County,Whitesburg,629900
5461,1999,4405,Acres,SINGLE_FAMILY,Douglas County,Whitesburg,525000
5462,2021,3000,Acres,SINGLE_FAMILY,Douglas County,Whitesburg,328000
5463,0,0,Acres,LOT,Carroll County,Whitesburg,249000
5464,0,0,Acres,LOT,Carroll County,Whitesburg,30000
5465,0,0,Acres,LOT,Carroll County,Whitesburg,475000
5466,1996,984,Acres,SINGLE_FAMILY,Heard County,Franklin,139000
5467,0,0,Acres,LOT,Heard County,Franklin,124800
5468,0,0,sqft,LOT,Heard County,Franklin,216000
5469,1992,2351,Acres,SINGLE_FAMILY,Gwinnett County,Snellville,339960
5470,1972,2982,Acres,SINGLE_FAMILY,Gwinnett County,Snellville,285000
5471,1986,1152,Acres,SINGLE_FAMILY,Gwinnett County,Snellville,243000
5472,0,0,Acres,LOT,Gwinnett County,Snellville,55000
5473,1998,3626,Acres,SINGLE_FAMILY,Gwinnett County,Snellville,248000
5474,1988,1396,Acres,SINGLE_FAMILY,Gwinnett County,Snellville,195000
5475,2004,2584,sqft,SINGLE_FAMILY,Gwinnett County,Snellville,270000
5476,1999,2561,Acres,SINGLE_FAMILY,Gwinnett County,Snellville,310000
5477,1979,2012,Acres,SINGLE_FAMILY,Gwinnett County,Snellville,235000
5478,2006,3004,sqft,SINGLE_FAMILY,Gwinnett County,Snellville,280000
5479,2006,2810,sqft,SINGLE_FAMILY,Gwinnett County,Snellville,323000
5480,2016,3456,sqft,SINGLE_FAMILY,Gwinnett County,Snellville,420000
5481,1997,2297,Acres,SINGLE_FAMILY,Gwinnett County,Snellville,300000
5482,1999,4301,Acres,SINGLE_FAMILY,Gwinnett County,Snellville,375000
5483,1998,1765,Acres,SINGLE_FAMILY,Gwinnett County,Snellville,250000
5484,1987,1535,Acres,SINGLE_FAMILY,Gwinnett County,Snellville,255000
5485,1967,1290,Acres,SINGLE_FAMILY,Dekalb County,Snellville,239900
5486,1990,3764,Acres,SINGLE_FAMILY,Gwinnett County,Snellville,470000
5487,1993,4817,Acres,SINGLE_FAMILY,Gwinnett County,Snellville,465000
5488,1990,4656,Acres,SINGLE_FAMILY,Gwinnett County,Snellville,472000
5489,1989,2967,Acres,SINGLE_FAMILY,Gwinnett County,Snellville,419000
5490,1977,2662,Acres,SINGLE_FAMILY,Gwinnett County,Snellville,361000
5491,1994,1230,Acres,SINGLE_FAMILY,Dekalb County,Snellville,210000
5492,0,0,Acres,LOT,Dekalb County,Snellville,135000
5493,0,0,sqft,LOT,Gwinnett County,Snellville,59500
5494,0,0,sqft,LOT,Gwinnett County,Snellville,59500
5495,0,0,sqft,LOT,Gwinnett County,Snellville,59500
5496,0,0,sqft,LOT,Gwinnett County,Snellville,59500
5497,1978,1952,Acres,SINGLE_FAMILY,Gwinnett County,Snellville,399900
5498,0,0,sqft,LOT,Gwinnett County,Snellville,25000
5499,1976,0,Acres,SINGLE_FAMILY,Colquitt County,Moultrie,159000
5500,0,0,Acres,LOT,Colquitt County,Moultrie,28500
5501,1970,0,Acres,SINGLE_FAMILY,Colquitt County,Moultrie,239900
5502,2013,0,Acres,SINGLE_FAMILY,Liberty County,Allenhurst,184900
5503,2021,0,Acres,SINGLE_FAMILY,Liberty County,Allenhurst,214900
5504,2021,0,Acres,SINGLE_FAMILY,Liberty County,Allenhurst,217900
5505,2021,0,Acres,SINGLE_FAMILY,Liberty County,Allenhurst,289900
5506,0,0,Acres,LOT,Long County,Allenhurst,22000
5507,2005,0,Acres,LOT,Liberty County,Allenhurst,25000
5508,0,0,Acres,LOT,Liberty County,Allenhurst,25000
5509,0,0,Acres,LOT,Liberty County,Hinesville,189000
5510,1996,0,Acres,LOT,Liberty County,Hinesville,134900
5511,0,0,Acres,LOT,Long County,Allenhurst,23000
5512,0,0,Acres,LOT,Long County,Allenhurst,23000
5513,0,0,Acres,LOT,Long County,Allenhurst,23000
5514,0,0,Acres,LOT,Long County,Allenhurst,23000
5515,0,0,Acres,LOT,Long County,Allenhurst,23000
5516,0,0,Acres,LOT,Liberty County,Hinesville,65000
5517,0,0,Acres,LOT,Liberty County,Hinesville,499900
5518,0,0,Acres,LOT,Long County,Hinesville,1390000
5519,1986,3519,Acres,SINGLE_FAMILY,Gwinnett County,Loganville,419900
5520,2003,2208,sqft,SINGLE_FAMILY,Gwinnett County,Loganville,325000
5521,1981,1575,Acres,SINGLE_FAMILY,Gwinnett County,Stone Mountain,199900
5522,1984,2963,Acres,SINGLE_FAMILY,Gwinnett County,Lilburn,379000
5523,0,0,Acres,LOT,Glynn County,Sea Island,5495000
5524,1980,0,sqft,TOWNHOUSE,Glynn County,Sea Island,3245000
5525,1987,0,Acres,SINGLE_FAMILY,Glynn County,Sea Island,8900000
5526,2007,0,sqft,TOWNHOUSE,Glynn County,Sea Island,1900000
5527,2002,0,Acres,SINGLE_FAMILY,Glynn County,Sea Island,5900000
5528,0,0,Acres,LOT,Glynn County,Sea Island,4485000
5529,0,0,Acres,LOT,Glynn County,Sea Island,1899000
5530,0,0,Acres,LOT,Glynn County,Sea Island,740000
5531,0,0,Acres,LOT,Glynn County,Sea Island,899000
5532,2006,2600,Acres,SINGLE_FAMILY,Lumpkin County,Dahlonega,349000
5533,0,0,Acres,LOT,Lumpkin County,Dahlonega,18000
5534,0,0,Acres,LOT,Lumpkin County,Dahlonega,59900
5535,0,0,Acres,LOT,Lumpkin County,Dahlonega,59900
5536,0,0,Acres,LOT,Lumpkin County,Dahlonega,55000
5537,0,0,Acres,LOT,Lumpkin County,Dahlonega,65000
5538,0,0,Acres,LOT,Lumpkin County,Dahlonega,65000
5539,0,0,Acres,LOT,Lumpkin County,Dahlonega,65000
5540,0,0,Acres,LOT,Lumpkin County,Dahlonega,531962
5541,0,0,Acres,LOT,Lumpkin County,Dahlonega,43500
5542,0,0,Acres,LOT,Lumpkin County,Dahlonega,23000
5543,0,0,Acres,LOT,Lumpkin County,Dahlonega,125000
5544,0,0,Acres,LOT,Lumpkin County,Dahlonega,60000
5545,0,0,Acres,LOT,Lumpkin County,Dahlonega,35000
5546,1998,3808,Acres,SINGLE_FAMILY,Lumpkin County,Dahlonega,450000
5547,1998,3808,Acres,SINGLE_FAMILY,Lumpkin County,Dahlonega,450000
5548,0,0,Acres,LOT,Lumpkin County,Dahlonega,55000
5549,1994,6662,Acres,SINGLE_FAMILY,Lumpkin County,Dahlonega,1200000
5550,0,0,Acres,LOT,Lumpkin County,Dahlonega,25000
5551,0,0,Acres,LOT,Lumpkin County,Dahlonega,149000
5552,2005,4317,Acres,SINGLE_FAMILY,Lumpkin County,Dahlonega,760000
5553,0,0,Acres,LOT,Lumpkin County,Dahlonega,74900
5554,1894,3065,Acres,SINGLE_FAMILY,Lumpkin County,Dahlonega,625000
5555,0,0,Acres,LOT,Lumpkin County,Dahlonega,149000
5556,0,0,Acres,LOT,Lumpkin County,Dahlonega,89000
5557,2003,4162,Acres,SINGLE_FAMILY,Lumpkin County,Dahlonega,699000
5558,2003,4810,Acres,SINGLE_FAMILY,Lumpkin County,Dahlonega,642000
5559,0,0,Acres,LOT,Lumpkin County,Dahlonega,300000
5560,0,0,Acres,LOT,Lumpkin County,Dahlonega,546900
5561,0,0,Acres,LOT,Lumpkin County,Dahlonega,79900
5562,1951,1545,sqft,SINGLE_FAMILY,Muscogee County,Columbus,99900
5563,1925,1435,Acres,SINGLE_FAMILY,Ware County,Waycross,110000
5564,1900,0,Acres,SINGLE_FAMILY,Ware County,Waycross,125000
5565,1948,0,sqft,SINGLE_FAMILY,Ware County,Waycross,109000
5566,2003,0,sqft,SINGLE_FAMILY,Ware County,Waycross,37900
5567,1946,0,sqft,SINGLE_FAMILY,Ware County,Waycross,59900
5568,2003,0,sqft,SINGLE_FAMILY,Ware County,Waycross,32900
5569,1956,0,sqft,SINGLE_FAMILY,Ware County,Waycross,174900
5570,1957,0,sqft,SINGLE_FAMILY,Ware County,Waycross,94500
5571,1950,0,Acres,SINGLE_FAMILY,Ware County,Waycross,114900
5572,1963,0,sqft,SINGLE_FAMILY,Ware County,Waycross,101500
5573,1948,0,sqft,SINGLE_FAMILY,Ware County,Waycross,129000
5574,2007,0,Acres,SINGLE_FAMILY,Ware County,Waycross,225000
5575,1979,0,Acres,SINGLE_FAMILY,Ware County,Waycross,399900
5576,1908,0,Acres,SINGLE_FAMILY,Ware County,Waycross,75000
5577,1967,0,Acres,SINGLE_FAMILY,Ware County,Waycross,110000
5578,0,0,Acres,LOT,Ware County,Waycross,285000
5579,1948,0,sqft,SINGLE_FAMILY,Ware County,Waycross,84900
5580,0,0,sqft,LOT,Ware County,Waycross,6500
5581,0,0,sqft,LOT,Ware County,Waycross,2500
5582,2003,0,Acres,LOT,Ware County,Waycross,15000
5583,1953,0,Acres,SINGLE_FAMILY,Ware County,Waycross,69900
5584,1951,0,Acres,SINGLE_FAMILY,Ware County,Waycross,200000
5585,0,0,sqft,LOT,Ware County,Waycross,2100
5586,1950,0,sqft,SINGLE_FAMILY,Ware County,Waycross,149900
5587,2019,0,Acres,SINGLE_FAMILY,Ware County,Waycross,296900
5588,1905,0,sqft,SINGLE_FAMILY,Ware County,Waycross,38000
5589,1966,4073,sqft,SINGLE_FAMILY,Ware County,Waycross,278900
5590,1978,0,Acres,SINGLE_FAMILY,Ware County,Waycross,219000
5591,1945,0,Acres,SINGLE_FAMILY,Ware County,Waycross,100000
5592,1949,0,sqft,SINGLE_FAMILY,Ware County,Waycross,159000
5593,1975,2024,Acres,SINGLE_FAMILY,Hall County,Oakwood,265000
5594,2003,4225,Acres,SINGLE_FAMILY,Hall County,Oakwood,575000
5595,0,0,Acres,LOT,Hall County,Oakwood,150000
5596,0,0,Acres,LOT,Hall County,Oakwood,305000
5597,1954,0,Acres,SINGLE_FAMILY,Dougherty County,Albany,189000
5598,0,0,Acres,LOT,Dougherty County,Albany,22000
5599,1962,0,Acres,SINGLE_FAMILY,Dougherty County,Albany,132500
5600,1988,0,Acres,SINGLE_FAMILY,Worth County,Albany,30000
5601,1952,1381,sqft,SINGLE_FAMILY,Dougherty County,Albany,34000
5602,1952,0,Acres,SINGLE_FAMILY,Dougherty County,Albany,375000
5603,1958,0,sqft,SINGLE_FAMILY,Dougherty County,Albany,185000
5604,1958,0,sqft,SINGLE_FAMILY,Dougherty County,Albany,185000
5605,1958,0,sqft,SINGLE_FAMILY,Dougherty County,Albany,185000
5606,1958,0,sqft,SINGLE_FAMILY,Dougherty County,Albany,185000
5607,1958,0,sqft,SINGLE_FAMILY,Dougherty County,Albany,185000
5608,0,0,Acres,LOT,Dougherty County,Albany,1200000
5609,1971,0,Acres,SINGLE_FAMILY,Dougherty County,Albany,219900
5610,2019,0,Acres,SINGLE_FAMILY,Mitchell County,Albany,189900
5611,1955,0,Acres,SINGLE_FAMILY,Dougherty County,Albany,33400
5612,1963,0,Acres,SINGLE_FAMILY,Dougherty County,Albany,150000
5613,1952,0,Acres,SINGLE_FAMILY,Dougherty County,Albany,42900
5614,1979,0,Acres,SINGLE_FAMILY,Dougherty County,Albany,80000
5615,0,0,Acres,LOT,Dougherty County,Albany,5500
5616,1968,0,Acres,SINGLE_FAMILY,Dougherty County,Albany,84900
5617,1952,0,Acres,SINGLE_FAMILY,Dougherty County,Albany,39900
5618,1972,0,sqft,SINGLE_FAMILY,Dougherty County,Albany,48900
5619,1961,0,Acres,SINGLE_FAMILY,Dougherty County,Albany,59900
5620,1994,0,Acres,SINGLE_FAMILY,Mitchell County,Albany,349000
5621,1994,0,Acres,SINGLE_FAMILY,Mitchell County,Albany,349000
5622,0,0,Acres,LOT,Lumpkin County,Dahlonega,137000
5623,0,0,Acres,LOT,Lumpkin County,Dahlonega,49900
5624,1977,1254,Acres,SINGLE_FAMILY,Lumpkin County,Dahlonega,200000
5625,2002,4622,Acres,SINGLE_FAMILY,Lumpkin County,Dahlonega,585000
5626,1997,1352,Acres,SINGLE_FAMILY,Lumpkin County,Dahlonega,149000
5627,2021,2020,Acres,SINGLE_FAMILY,Lumpkin County,Dahlonega,345000
5628,2021,0,Acres,SINGLE_FAMILY,Lumpkin County,Dahlonega,239900
